generator,seed,openness,roomCount,meanRoomSize
Lague,eval_0,0.552,1,5083.0
Lague,eval_1,0.616,2,2837.5
Lague,eval_2,0.600,1,5531.0
Lague,eval_3,0.558,1,5146.0
Lague,eval_4,0.554,1,5104.0
Lague,eval_5,0.594,1,5470.0
Lague,eval_6,0.623,1,5743.0
Lague,eval_7,0.518,1,4770.0
Lague,eval_8,0.564,1,5197.0
Lague,eval_9,0.586,1,5402.0
Lague,eval_10,0.638,1,5882.0
Lague,eval_11,0.606,1,5585.0
Lague,eval_12,0.616,1,5673.0
Lague,eval_13,0.525,1,4841.0
Lague,eval_14,0.547,1,5044.0
Lague,eval_15,0.549,1,5060.0
Lague,eval_16,0.598,1,5509.0
Lague,eval_17,0.574,1,5287.0
Lague,eval_18,0.633,1,5832.0
Lague,eval_19,0.533,1,4914.0
Lague,eval_20,0.561,1,5167.0
Lague,eval_21,0.563,1,5185.0
Lague,eval_22,0.593,1,5469.0
Lague,eval_23,0.624,1,5750.0
Lague,eval_24,0.577,1,5316.0
Lague,eval_25,0.573,1,5285.0
Lague,eval_26,0.505,1,4652.0
Lague,eval_27,0.603,1,5558.0
Lague,eval_28,0.576,1,5311.0
Lague,eval_29,0.601,1,5536.0
Lague,eval_30,0.639,1,5889.0
Lague,eval_31,0.628,1,5788.0
Lague,eval_32,0.609,1,5616.0
Lague,eval_33,0.564,1,5199.0
Lague,eval_34,0.540,1,4976.0
Lague,eval_35,0.623,1,5741.0
Lague,eval_36,0.591,1,5451.0
Lague,eval_37,0.566,1,5218.0
Lague,eval_38,0.608,1,5600.0
Lague,eval_39,0.615,1,5668.0
Lague,eval_40,0.602,1,5546.0
Lague,eval_41,0.548,1,5047.0
Lague,eval_42,0.605,1,5576.0
Lague,eval_43,0.628,1,5789.0
Lague,eval_44,0.626,1,5769.0
Lague,eval_45,0.594,1,5475.0
Lague,eval_46,0.556,1,5124.0
Lague,eval_47,0.635,1,5848.0
Lague,eval_48,0.637,1,5875.0
Lague,eval_49,0.602,1,5545.0
BSP,eval_0,0.500,1,4605.0
BSP,eval_1,0.506,1,4666.0
BSP,eval_2,0.513,1,4724.0
BSP,eval_3,0.535,1,4929.0
BSP,eval_4,0.509,1,4689.0
BSP,eval_5,0.552,1,5089.0
BSP,eval_6,0.513,1,4727.0
BSP,eval_7,0.502,1,4623.0
BSP,eval_8,0.521,1,4800.0
BSP,eval_9,0.511,1,4711.0
BSP,eval_10,0.540,1,4975.0
BSP,eval_11,0.501,1,4614.0
BSP,eval_12,0.560,1,5158.0
BSP,eval_13,0.543,1,5008.0
BSP,eval_14,0.554,1,5105.0
BSP,eval_15,0.540,1,4979.0
BSP,eval_16,0.538,1,4960.0
BSP,eval_17,0.517,1,4764.0
BSP,eval_18,0.532,1,4906.0
BSP,eval_19,0.544,1,5013.0
BSP,eval_20,0.538,1,4958.0
BSP,eval_21,0.534,1,4919.0
BSP,eval_22,0.552,1,5084.0
BSP,eval_23,0.523,1,4824.0
BSP,eval_24,0.520,1,4791.0
BSP,eval_25,0.531,1,4891.0
BSP,eval_26,0.522,1,4810.0
BSP,eval_27,0.492,1,4535.0
BSP,eval_28,0.531,1,4895.0
BSP,eval_29,0.553,1,5092.0
BSP,eval_30,0.517,1,4767.0
BSP,eval_31,0.503,1,4636.0
BSP,eval_32,0.539,1,4970.0
BSP,eval_33,0.506,1,4666.0
BSP,eval_34,0.554,1,5108.0
BSP,eval_35,0.502,1,4625.0
BSP,eval_36,0.525,1,4842.0
BSP,eval_37,0.553,1,5093.0
BSP,eval_38,0.532,1,4902.0
BSP,eval_39,0.487,1,4490.0
BSP,eval_40,0.510,1,4702.0
BSP,eval_41,0.545,1,5021.0
BSP,eval_42,0.516,1,4758.0
BSP,eval_43,0.534,1,4920.0
BSP,eval_44,0.503,1,4635.0
BSP,eval_45,0.529,1,4876.0
BSP,eval_46,0.529,1,4873.0
BSP,eval_47,0.513,1,4729.0
BSP,eval_48,0.524,1,4828.0
BSP,eval_49,0.552,1,5084.0
